Total observations: 478
Total time period:10
Unit for demand: cores*hours
=================================================================
122881.3769	238925.1696	184018.4076	128338.9887	176595.7129	167831.3242	244315.4433	251717.5333	254237.8992	162709.6563
128730.277	248027.8702	181122.8287	140790.0226	187296.599	153277.4328	253409.1339	243689.9003	291946.1474	180426.366
140438.6009	255188.0692	173477.671	144300.3471	180722.3907	151667.4761	247437.2626	260301.1053	301753.2577	212149.0932
164892.1471	243074.8555	186044.0627	138302.0699	167679.8839	165267.1367	230178.8172	236158.3145	259809.5989	168686.66
161988.7955	225499.9144	177533.7705	169062.6969	176469.2214	192108.9847	283884.0493	255127.9418	268572.2373	216999.2063
185612.0616	256342.497	189638.8366	156384.4665	174326.7413	173522.7339	261554.1066	258112.2011	286318.2262	164921.4355
145910.7515	252959.4593	190208.1513	144173.1821	188810.004	190926.3074	251917.9326	253033.6867	251869.1475	181947.7679
161622.2326	247358.4289	186029.9674	146918.3226	181426.7893	174102.1714	287485.5082	240303.0863	253523.7978	196582.7337
150112.9273	238596.1016	188803.8456	158583.9926	184426.8158	177643.8301	239722.7387	252438.8749	293378.888	177454.2323
148790.1529	258296.7449	171271.9755	145751.0191	187524.4843	180601.8643	252536.4388	257669.2034	255225.1234	207454.6405
146898.1928	247452.5364	175786.7817	150922.112	188433.7139	143412.3737	255955.1092	265940.3805	258839.845	203436.5592
135483.3367	247231.6528	176449.614	134209.9262	168362.0103	162179.1238	278886.211	226339.2991	230966.5385	171149.8138
143492.5279	264324.3384	187127.532	153267.0882	164575.5194	166705.1607	284477.3921	251593.7119	290904.37	215241.1413
144693.2478	236619.1746	168023.306	123597.311	182699.1868	173600.2836	257767.6311	271932.8002	287810.4721	196041.2078
130057.2591	233772.5802	182190.0663	139843.2537	176843.3924	176268.6337	195257.4546	238008.9896	256761.7124	187040.9511
138591.4295	248132.2921	207009.4071	145248.5833	172089.5384	172326.8264	244414.42	246463.6064	267966.3416	175869.3521
124742.0823	273191.2144	184220.0086	134495.8765	169618.2264	183025.6884	280003.5629	262706.1109	254646.6556	169155.7149
138109.4082	245653.8352	173933.9099	162714.517	185833.1397	158904.3595	219947.3146	241182.2074	275640.5219	178771.5477
